사건,시간대,위치,대화 묶음,id,startObject,npcFrom,desc,반복성,대사 조건,status,parent,rewards,단서 루트 해금,발생 여부,새로운 이벤트
53,71,111,2000,0,1100,1100,오늘 소식지 봤어요? 글쎄 총장님이 살해당했대요,4,,0,1,,,,
53,71,111,2000,1,1100,1101,어머머 총장님이요? 아이고 어쩌다가 그렇게 되셨대…,4,,0,2,,,,
53,71,111,2000,2,1100,1100,그거 때문에 지금 다들 난리라니까! 아까 시장에 갔더니 다 이 얘기로 들썩이지 뭐에요!,4,,0,2,,,,
53,71,111,2001,0,1100,1100,에휴…이제 어쩐다 어째. 어? 수사관님 여긴 어쩐일이세요?,2,2000,0,1,우울한 남자,,,
53,71,111,2001,1,1100,1101,수사관님 아니세요? 그런데 여긴 어쩐일로 오셨어요?,2,,0,2,,,,
53,71,111,2001,2,1100,1000,안녕하세요. 지금 수사중이라서요. 혹시 요즘에 이상한 일이나 수상한 사람을 목격한 적이 있나요?,2,,0,3,,,,
53,71,111,2001,3,1100,1100,아…오늘 그 사건 때문인가요? 이상한 일은 없는데 수상한 사람이라… 아! 소문을 들은건데 요즘 이곳 저곳에서 우울해 보이는 남자가 자주 목격된데요.,2,,0,4,,,,
53,71,111,2001,4,1100,1000,우울해 보이는 남자요?,2,,0,5,,,,
53,71,111,2001,5,1100,1100,생긴게 우중충하고 얼굴에 늘 그림자가 져있다네요. 보기만 해도 주변 기분나쁘다는 남자가 신출귀몰한다는 소문이에요.,2,,0,6,,,,
53,71,111,2001,6,1100,1101,나도 그 소문 들었어요. 근데 그 사람 이 근처에 산다는거 같던데…,2,,0,6,,,,
53,71$72,111,2002,0,1101,1101,그나저나 사제님이 시내에 오실 때 한번가서 뵈야하는데,2,,0,1,,,,200
53,71$72,111,2002,1,1101,1100,사제님? 사제님은 갑자기 왜요?,2,,0,2,,,,
53,71$72,111,2002,2,1101,1101,"어머 혹시 몰랐어요? 지금 신전에서 사제님들이 와가지고 아픈사람들 도와주고 구빈원에서 아이들한테 먹을 것도 나눠주고 있으시잖아요.
저번에 우리집 아이가 아팠을 때$ 사제님이 도와주셨거든요. 가서 감사의 인사라도 드릴려구요.",2,,0,3,,,,
53,71$72,111,2002,3,1101,1100,그 비싼 진료를 무료로 해줬다구요? 어머…참으로 고마우신 분들이시네요. 게다가 불쌍한 아이들까지 도와주시고… 마치 륑 자작님이 생각나네요,2,,0,3,,,,
53,71$72$73$74,111,2003,0,1100,1100,오늘은 채소가 싸대요.,3,,0,1,,,,
53,71$72$73$74,111,2003,1,1100,1101,어머머 웬일이야 어제 잔뜩 사놨는데. 조금만 기다릴걸,3,,0,2,,,,
53,71$72$73$74,111,2003,2,1100,1100,내일은 밀가루가 싸다니까 기다렸다가 사요. ,3,,0,2,,,,
53,71$72$73$74,113,2004,0,1104,1104,산책하기 좋은 날씨네요.,3,,0,0,,,,
53,71$72$73$74,113,2005,0,1104,1104,아이들이 참 부러워요. 나도 저렇게 아무런 걱정 없이 놀던 시절이 있었는데.,3,,0,0,,,,
53,71$72$73$74,113,2006,0,1104,1104,"이렇게 여유로운게 좋은 거겠죠. 
바쁘게 사는 것도 좋지만 인생에서 한번쯤은 아무생각 안하고 시간을 보낼 수 있을 정도로 한가로운 날도 필요하다 생각해요.",3,,0,1,,,,
53,71$72$73$74,113,2006,1,1104,1000,…저는 잘 모르겠어요.,3,,0,1,,,,
53,71$72$73$74,113,2007,0,1103,1103,짠! 오늘 저녁은 모래빵이에요. 따뜻할 때 드세요. ,3,,0,1,,,,
53,71$72$73$74,113,2007,1,1103,1102,마..맛있겠다. 잘 먹을게요.,3,,0,2,,,,
53,71$72$73$74,113,2007,2,1103,1000,애들아..!그건 먹으면 안돼!,3,,0,3,,,,
53,71$72$73$74,113,2007,3,1103,1103,응? 언니도 참. 진짜로 안먹어요. 이건 소꿉놀이니까요!,3,,0,4,,,,
53,71$72$73$74,113,2007,4,1103,1102,어? 안먹어도 되는거였어? 다행이다…,3,,0,4,,,,
53,71$72$73$74,113,2008,0,1102,1102,우리 형이 알려준건데$ 이런 나뭇잎에 입을 대고 세게 불면 피리 소리가 난대! 후우우우!,3,,0,1,,,,
53,71$72$73$74,113,2008,1,1102,1103,응? 아무소리도 안나는데…,3,,0,2,,,,
53,71$72$73$74,113,2008,2,1102,1102,후우우우우우우!,3,,0,3,,,,
53,71$72$73$74,113,2008,3,1102,1103,후우우우!,3,,0,3,,,,
53,71,113,2009,0,1105,1000,혹시 최근들어 수상한 사람이나 이상한 일을 목격한 적이 있으신가요?,2,,0,1,정보상의 존재,,,207
53,71,113,2009,1,1105,1105,"정보가 필요하신 건가요? 그러고 보니 어디 구석진 곳에 정보상이 있다는 말을 들은 적이 있어요.
시장에 한 구석진 골목으로 들어가 보세요. 아 근데 너무 기대는 하지마세요. 저도 지나가면서 들은거거든요.",2,,0,1,,,,
53,71,113,2010,0,1105,1105,"오늘 소식지에서 또 연쇄살인이 발생했다는데… 예전에 들은건데 저쪽 집에 한번 가보세요. 이 연쇄 살인의 피해자가 살던 집이라고 들었거든요.
집이 안팔린다고 부동산 사장님이 한탄하시더라구요.",3,,0,0,연쇄살인의 두번째 피해자,,,
53,72$73$74,113,2011,0,1105,1105,어머 메르테. 오늘은 어쩐 일이에요?,2,22,0,1,,,,
53,72$73$74,113,2011,1,1105,1000,오늘도 늘 똑같죠. 단서를 찾으려고 계속 이곳 저곳 돌아다니고 있어요.,2,,0,2,,,,
53,72$73$74,113,2011,2,1105,1105,"곤란해 보이네요. 좋아요! 저번에 곤란해 하는 저를 도와주셨으니까$ 저도 도움을 하나 드릴게요.
나중에 (정보상 바텐더)란 사람을 만나게 되면 이렇게 말해보세요. '오늘은 부엉이가 날아다니기 좋은 날씨네요'라고 .",2,,0,3,,,,
53,72$73$74,113,2011,3,1105,1000,하하 뭔가 암호같네요. 진짜로 그분을 만나게 된다면 한번 말해볼게요. 그럼 제가 마치 첩자가 된 기분일거 같아요.,2,,0,3,,,,
53,이벤트 충족,113,2012,0,1101,1101,오늘 도심에 갔다가 사제님이 계시더라구요! 그덕에 감사의 인사를 드렸어요.,2,2002,0,1,,,,
53,이벤트 충족,113,2012,1,1101,1100,사제님이 도심에 나오셨나요? 어머 저도 한번 뵙고 싶네요,2,,0,2,,,,
53,이벤트 충족,113,2012,2,1101,1101,지금도 계시지 않을까요? 그리고 지금 도심예 계신 사제님은 그분이세요,2,,0,3,,,,
53,이벤트 충족,113,2012,3,1101,1100,그분이요?,2,,0,4,,,,
53,이벤트 충족,113,2012,4,1101,1101,체스미터 대사제님이요! 곧 교황이 되실거라는 소문이 있던데,2,,0,5,,,,
53,이벤트 충족,113,2012,5,1101,1100,어머 그 분이 지금 나오신거에요? 어머머 예전에는 뵙기 힘들었는데$ 요즘엔 자주 도심에 오시네요.,2,,0,6,,,,
53,이벤트 충족,113,2012,6,1101,1101,그러게요? 요즘 교황청에 무슨 일이 있는건가.,2,,0,6,,,,
53,71,121,2013,0,1106,1106,그 소식 들었어요? 또 살인 사건이 일어났다는데. 이렇게 동네가 흉흉해서야 원.,3,,0,0,,,,
53,71$72$73$74,121,2014,0,1106,1106,집이 팔려야 이사를 갈텐데$ 아무도 집을 사려고 하질 않네…이게 다 옆집 때문이 분명해.,3,,0,0,,,,
53,71$72$73$74,121,2015,0,1106,1106,혹시$ 이사 계획없나요? '이 집'이 채광도 좋고 경치도 아주 끝내주는데…,3,,0,0,,,,
53,71$72$73$74,121,2016,0,1106,1106,이 동네는 총장님이 가신 후로 영 불안해. 빨리 이곳을 뜨고싶어…,3,,0,0,,,,
53,이벤트충족,121,2017,0,1010,1000,혹시 이 근처에서 수상한 사람을 목격한 적 있으신가요?,2,2019,0,1,수상한 증언,,1,201
53,이벤트충족,121,2017,1,1010,1010,...있지…이 집이었어…,2,,0,2,,,,
53,이벤트충족,121,2017,2,1010,1000,이 집 안 말인가요?,2,,0,3,,,,
53,이벤트충족,121,2017,3,1010,1010,그래…난 알아. 그 여자한테 아이가 있었거든…난 이만 가봐야겠어.,2,,0,3,,,,
53,71,123,2018,0,1107,1107,총장님이 살해당하셨대!,4,,0,1,,,,
53,71,123,2018,1,1107,1108,말도 안돼! 총장님이 안 계시면 우리 나라는 이제 누가 지켜주신담?,4,,0,2,,,,
53,71,123,2018,2,1107,1107,걱정마$ 마리만큼은 내가 무조건 지킬테니까…,4,,0,3,,,,
53,71,123,2018,3,1107,1108,폴…!,4,,0,3,,,,
53,71,123,2019,0,1107,1107,어휴$ 뭐야 정말!,2,2018,0,1,남자의 정체,,1,202
53,71,123,2019,1,1107,1108,괜찮아 폴? 저런 이상한 사람은 그냥 무시해!,2,,0,2,,,,
53,71,123,2019,2,1107,1000,무슨 일 있으신가요?,2,,0,3,,,,
53,71,123,2019,3,1107,1108,그게$ 방금 이상한 사람이 저희를 치고 갔지 뭐예요. 거의 넘어질 뻔했어요.,2,,0,4,,,,
53,71,123,2019,4,1107,1107,말 거는 것도 무시하고 가버리고….고의가 분명해!,2,,0,5,,,,
53,71,123,2019,5,1107,1108,어딘지 음침하고 눈이 풀린게…아무튼 정말 수상한 남자였어요. ,2,,0,6,,,,
53,71,123,2019,6,1107,1107,바로 저 쪽이었으니까. 지금 가면 볼 수 있을지도 몰라요.,2,,0,6,,,,
53,71$72$73$74,123,2020,0,1108,1108,오늘은 날이 좋네. 하늘이 예뻐.,3,,0,1,,,,
53,71$72$73$74,123,2020,1,1108,1107,그런 말 마 마리. 네가 그런 말을 하면 난…난 너무 불안해.,3,,0,2,,,,
53,71$72$73$74,123,2020,2,1108,1108,왜 그래 폴?,3,,0,3,,,,
53,71$72$73$74,123,2020,3,1108,1107,천사같은 네가 날아가버리진 않을까…불안하단 말이야.,3,,0,4,,,,
53,71$72$73$74,123,2020,4,1108,1108,아이참$ 내가 날아갈 곳은 폴의 마음 속 뿐인걸?,3,,0,5,,,,
53,71$72$73$74,123,2020,5,1108,1107,마리…!,3,,0,5,,,,
53,71$72$73$74,123,2021,0,1108,1108,어제 뭐했어?,3,,0,1,,,,
53,71$72$73$74,123,2021,1,1108,1107,별일 없었어…왜 그래 마리?.,3,,0,2,,,,
53,71$72$73$74,123,2021,2,1108,1108,거짓말 마. 내가 모를 줄 알았어? 네가 벨과 있었다는 걸…난 다 들었어!,3,,0,3,,,,
53,71$72$73$74,123,2021,3,1108,1107,오해야 마리$ 내가 다 설명할게!,3,,0,4,,,,
53,71$72$73$74,123,2021,4,1108,1108,실망이야 폴. 난 이만 갈게.,3,,0,5,,,,
53,71$72$73$74,123,2021,5,1108,1107,마리! 마리!,3,,0,5,,,,
53,71,132,2022,0,1109,1109,저쪽 집에 사는 사람 본적있나?,3,,0,1,,,,
53,71,132,2022,1,1109,1110,아니? 저기에 사람이 살았나? 한번도 사람이 드나드는 걸 본적이 없는데,3,,0,2,,,,
53,71,132,2022,2,1109,1109,나도 그런줄 알았는 데 어제 밤에 사람이 들어가더라니까! 근데 생긴게 왜그리 음침한지.,3,,0,2,,,,
53,71,132,2023,0,1109,1000,안녕하세요. 요즘에 이상한 일이나 수상한 사람을 본적이 있으신가요?,2,,0,1,,,,
53,71,132,2023,1,1109,1109,이상한 일은 딱히 없었는데$ 수상해 보이는 사람은…,2,,0,2,,,,
53,71,132,2023,2,1109,1000,수상한 사람이 있었나요?,2,,0,3,,,,
53,71,132,2023,3,1109,1109,"수상하다기 보단 음침하달까… 나는 저쪽 집에 사람도 안사는 줄 알았는데$ 어떤 음침한 남자가 어젯밤에 들어가더라니까요.
어제 그 모습 보고 심장 떨어질뻔 했다우!",2,,0,4,,,,
53,71,132,2023,4,1109,1000,음침한 남자라…감사합니다.,2,,0,4,,,,
53,71,132,2024,0,1110,1110,에휴$ 그렇게 좋으신 분이 살해당했다니… 아직도 믿기지 않아…,3,,0,1,,,,
53,71,132,2024,1,1110,1109,그러게 말일세. 요즘 세상에 그렇게 착하신 사람도 없는데… 아니 그럼 총장님이 후원해주고 있는 아이들은 어떻게 된데?,3,,0,2,,,,
53,71,132,2024,2,1110,1110,음... 아마 륑 자작님이 데려가겠지? 고아원을 운영하고 계시니까.,3,,0,3,,,,
53,71,132,2024,3,1110,1109,그러네! 아휴…진짜 이게 무슨 일인지. 그나마 좋으신 분들이 많아서 다행이야.,3,,0,3,,,,
53,71,132,2025,0,1109,1109,공원에 좀 뭔가가 많았으면 좋겠군. 지금은 너무 휑해.,3,,0,1,,,,
53,71,132,2025,1,1109,1110,"에이. 아직 생긴지 몇 년 안됐잖아? 그러고 보니 저기에 공원이 생기기 전에 뭐가 있었던 거지?
부지가 엄청 넓던데.",3,,0,2,,,,
53,71,132,2025,2,1109,1109,공원? 아아 그거 아내가 궁금해서 부동산 사람한테 물어봤다는데$ 원래는 총장님의 집이 거기에 있었다는군!,3,,0,3,,,,
53,71,132,2025,3,1109,1110,총장님 집? 아$ 하긴 총장님도 처음부터 부자는 아니었으니… 그분도 평민이셨으니 여기 살았었겠군.,3,,0,4,,,,
53,71,132,2025,4,1109,1109,성공하셨지. 그리고 많은 사람들한테 촉망도 받고. 좋은 인생을 사셨어.,3,,0,4,,,,
53,72,132,2026,0,1109,1109,오늘 시장에 갔다가 깜짝 놀랬지 뭔가!,4,,0,1,,,1,218
53,72,132,2026,1,1109,1110,무슨일 있었나?,4,,0,2,,,,
53,72,132,2026,2,1109,1109,"그그 음침하게 생긴 남자! 시장 골목에 조용히 서있더라니까! 갑자기 눈이 마주쳤는데 깜짝 놀라서 다 떨어뜨렸어!
도대체 그런 곳에서 뭘하는 건지!",4,,0,2,,,,
53,71$72$73$74,132,2027,0,1109,1109,그 소식 들었나?,3,,0,1,,,,
53,71$72$73$74,132,2027,1,1109,1110,그래…하늘도 무심하시지. 그렇게 좋은 분을.,3,,0,2,,,,
53,71$72$73$74,132,2027,2,1109,1109,그러니까. 죽어 마땅한 놈만 거둬가실 것이지.,3,,0,3,,,,
53,71$72$73$74,132,2027,3,1109,1000,…그러게 말이에요.,3,,0,3,,,,
53,71,132,2028,0,1110,1110,별 괴상한 놈을 다 보겠구만.,2,,0,1,,,,
53,71,132,2028,1,1110,1109,그러니까…아$수사관님 아니십니까! 마침 잘 오셨어요,2,,0,2,,,,
53,71,132,2028,2,1110,1000,안녕하세요. 무슨 일 있으신가요?,2,,0,3,,,,
53,71,132,2028,3,1110,1110,아니 글쎄$ 요새 왠 이상한 놈이 동네를 활보하지 뭡니까.,2,,0,4,,,,
53,71,132,2028,4,1110,1109,안 그래도 그 일 때문에 집값이 떨어졌는데…,2,,0,5,,,,
53,71,132,2028,5,1110,1110,가만히 냅두면 뭔 일 낼 놈이 분명해. 그럴 눈이었다니까?,2,,0,6,,,,
53,71,132,2028,6,1110,1109,어쩌면 이미 저질렀는지도 모르지…,2,,0,7,,,,
53,71,132,2028,7,1110,1110,"아무튼$ 다들 걱정이 이만저만이 아니에요. 
수사관님이 어떻게 좀 해주세요.",2,,0,8,,,,
53,71,132,2028,8,1110,1109,에휴$ 이게 다 총장님이 안 계셔서 그렇다니까…,2,,0,8,,,,
53,71$72$73$74,132,2029,0,1110,1110,오늘은 한가롭구먼.,3,,0,1,,,,
53,71$72$73$74,132,2029,1,1110,1109,뭘 새삼스레$ 자네는 매일 한가롭잖나.,3,,0,2,,,,
53,71$72$73$74,132,2029,2,1110,1110,자네도 마찬가지지 않나?,3,,0,3,,,,
53,71$72$73$74,132,2029,3,1110,1109,그야 그렇지. 술이나 한 잔 하러 갈까?,3,,0,4,,,,
53,71$72$73$74,132,2029,4,1110,1110,좋지$좋아.,3,,0,4,,,,
53,71$72$73$74,132,2030,0,1109,1109,아휴$ 요새 아내가 이사를 가자고 성화야.,3,,0,1,,,,
53,71$72$73$74,132,2030,1,1109,1110,그야 불안할 만 하지. 또 살인사건이 일어날 수도 있지 않나.,3,,0,2,,,,
53,71$72$73$74,132,2030,2,1109,1109,아$ 집이 팔려야 어딜 가든 말든 하지.,3,,0,3,,,,
53,71$72$73$74,132,2030,3,1109,1110,집값이 또 떨어졌다지? 팔려도 손해가 이만저만이 아니니…,3,,0,4,,,,
53,71$72$73$74,132,2030,4,1109,1109,에이$ 술이나 한잔 하러가자고.,3,,0,5,,,,
53,71$72$73$74,132,2030,5,1109,1110,좋지$좋아.,3,,0,5,,,,
53,71$72$73$74,132,2031,0,1109,1109,연쇄살인 말이야. 내가 엄청난걸 알아냈네. ,3,,0,1,,,,
53,71$72$73$74,132,2031,1,1109,1110,자네가 무슨 수로?,3,,0,2,,,,
53,71$72$73$74,132,2031,2,1109,1109,들어봐$ 총장님은 아이들을 거두셨고$ 레이나도 아이들을 잘 돌보곤 하지 않았나.,3,,0,3,,,,
53,71$72$73$74,132,2031,3,1109,1110,그래서?,3,,0,4,,,,
53,71$72$73$74,132,2031,4,1109,1109,범인은 아이를 싫어하는 자인 게지!,3,,0,5,,,,
53,71$72$73$74,132,2031,5,1109,1110,시덥잖은 추리 말고 술이나 마시러 가세나.,3,,0,5,,,,
53,71,111,2042,0,1101,1100,오늘 소식지 봤어요? 글쎄 총장님이 살해당했대요,4,,0,1,,,,
53,71,111,2042,1,1101,1101,어머머 총장님이요? 아이고 어쩌다가 그렇게 되셨대…,4,,0,2,,,,
53,71,111,2042,2,1101,1100,그거 때문에 지금 다들 난리라니까! 아까 시장에 갔더니 다 이 얘기로 들썩이지 뭐에요!,4,,0,2,,,,
53,71,111,2043,0,1101,1100,에휴…이제 어쩐다 어째. 어? 수사관님 여긴 어쩐일이세요?,2,2042,0,1,우울한 남자,,,
53,71,111,2043,1,1101,1101,수사관님 아니세요? 그런데 여긴 어쩐일로 오셨어요?,2,,0,2,,,,
53,71,111,2043,2,1101,1000,안녕하세요. 지금 수사중이라서요. 혹시 요즘에 이상한 일이나 수상한 사람을 목격한 적이 있나요?,2,,0,3,,,,
53,71,111,2043,3,1101,1100,아…오늘 그 사건 때문인가요? 이상한 일은 없는데 수상한 사람이라… 아! 소문을 들은건데 요즘 이곳 저곳에서 우울해 보이는 남자가 자주 목격된데요.,2,,0,4,,,,
53,71,111,2043,4,1101,1000,우울해 보이는 남자요?,2,,0,5,,,,
53,71,111,2043,5,1101,1100,생긴게 우중충하고 얼굴에 늘 그림자가 져있다네요. 보기만 해도 주변 기분나쁘다는 남자가 신출귀몰한다는 소문이에요.,2,,0,6,,,,
53,71,111,2043,6,1101,1101,나도 그 소문 들었어요. 근데 그 사람 이 근처에 산다는거 같던데…,2,,0,6,,,,
53,71$72,111,2045,0,1100,1101,그나저나 사제님이 시내에 오실 때 한번가서 뵈야하는데,2,,0,1,,,1,200
53,71$72,111,2045,1,1100,1100,사제님? 사제님은 갑자기 왜요?,2,,0,2,,,,
53,71$72,111,2045,2,1100,1101,"어머 혹시 몰랐어요? 지금 신전에서 사제님들이 와가지고 아픈사람들 도와주고 구빈원에서 아이들한테 먹을 것도 나눠주고 있으시잖아요.
저번에 우리집 아이가 아팠을 때$ 사제님이 도와주셨거든요. 가서 감사의 인사라도 드릴려구요.",2,,0,3,,,,
53,71$72,111,2045,3,1100,1100,그 비싼 진료를 무료로 해줬다구요? 어머…참으로 고마우신 분들이시네요. 게다가 불쌍한 아이들까지 도와주시고… 마치 륑 자작님이 생각나네요,2,,0,3,,,,
53,71$72$73$74,111,2046,0,1101,1100,오늘은 채소가 싸대요.,3,,0,1,,,,
53,71$72$73$74,111,2046,1,1101,1101,어머머 웬일이야 어제 잔뜩 사놨는데. 조금만 기다릴걸,3,,0,2,,,,
53,71$72$73$74,111,2046,2,1101,1100,내일은 밀가루가 싸다니까 기다렸다가 사요. ,3,,0,2,,,,
53,71$72$73$74,113,2047,0,1104,1104,산책하기 좋은 날씨네요.,3,,0,0,,,,
53,71$72$73$74,113,2047,0,1104,1104,아이들이 참 부러워요. 나도 저렇게 아무런 걱정 없이 놀던 시절이 있었는데.,3,,0,0,,,,
